0;no stop;
1;no communication between CPU and safety board RSI9;
2;diagnostic is missing. Check safety board I/O on control panel;
3;diagnostic is missing. Check safety board I/O on control panel;
4;diagnostic is missing. Check safety board I/O on control panel;
5;diagnostic is missing. Check safety board I/O on control panel;
6;diagnostic is missing. Check safety board I/O on control panel;
7;diagnostic is missing. Check safety board I/O on control panel;
8;diagnostic is missing. Check safety board I/O on control panel;
9;diagnostic is missing. Check safety board I/O on control panel;
10;diagnostic is missing. Check safety board I/O on control panel;
11;temperature out of range;
12;internal voltage out of range;
13;internal error;
14;the safety application contains faults;
15;safety configuration is corrupted;
16;the safety configuration does not match the safety application;
17;the format of the safety configuration is not supported;
18;internal communication error;
19;test output fault;
20;input deactivation fault;
21;signal on USIA1 (J100-1) is not the expected test signal TDO0 (J100-3/8/11, J101-5, J103-7);
22;signal on USIA2 (J100-2) is not the expected test signal TDO1 (J100-4, J101-6, J103-12);
23;signal on USIB1 (J100-5) is not the expected test signal TDO2 (J100-7/16, J103-5);
24;signal on USIB2 (J100-6) is not the expected test signal TDO0 (J100-3/8/11, J101-5, J103-7);
25;signal on USIC1 (J100-9) is not the expected test signal TDO0 (J100-3/8/11, J101-5, J103-7);
26;signal on USIC2 (J100-10) is not the expected test signal TDO3 (J100-12/15, J103-3);
27;signal on USID1 (J100-13) is not the expected test signal TDO3 (J100-12/15, J103-3);
28;signal on USID2 (J100-14) is not the expected test signal TDO2 (J100-7/16, J103-5);
29;signal on WMS-Local (J101-1) is not the expected test signal TDO0 (J100-3/8/11, J101-5, J103-7);
30;signal on WMS-Remote (J101-2) is not the expected test signal TDO0 (J100-3/8/11, J101-5, J103-7);
31;signal on WMS-Manu (J101-3) is not the expected test signal TDO0 (J100-3/8/11, J101-5, J103-7);
32;signal on WMS-Reset (J101-4) is not the expected test signal TDO1 (J100-4, J101-6, J103-12);
33;signal on Enabling1 (J103-8) is not the expected test signal TDO0 (J100-3/8/11, J101-5, J103-7);
34;signal on Enabling2 (J103-17) is not the expected test signal TDO1 (J100-4, J101-6, J103-12);
35;signal on Estop1 (J103-6) is not the expected test signal TDO2 (J100-7/16, J103-5);
36;signal on Estop2 (J103-4) is not the expected test signal TDO3 (J100-12/15, J103-3);
37;signal on USOA1 (J102-1) is not as expected;
38;signal on USOA2 (J102-2) is not as expected;
39;signal on USOB1 (J102-5) is not as expected;
40;signal on USOB2 (J102-6) is not as expected;
41;signal on USOC1 (J102-9) is not as expected;
42;signal on USOC2 (J102-10) is not as expected;
43;internal signal on STO1 (J222-10) is not as expected;
44;internal signal on STO2 (J222-10) is not as expected;
45;shortcut to 24V on USOA1 (J102-1) or USOA2 (J102-2);
46;shortcut to 24V on USOB1 (J102-5) or USOB2 (J102-6);
47;shortcut to 24V on USOC1 (J102-9) or USOC2 (J102-10);
48;shortcut to 24V on STO1 or STO2;
49;shortcut to 24V on STO1 or STO2;
50;safety overrun. Reduce the number/type of monitoring points;
51;diagnostic is missing. Check safety board I/O on control panel;
52;diagnostic is missing. Check safety board I/O on control panel;
53;diagnostic is missing. Check safety board I/O on control panel;
54;diagnostic is missing. Check safety board I/O on control panel;
55;unreferenced error on DSI board;
56;internal DSI board voltage error;
57;redundancy check error in DSI board;
58;internal DSI error;
59;communication error with one encoder;
60;shortcut on RBR signal enable1 (J1204);
61;shortcut on RBR signal enable2 (J1204);
62;shortcut on RBR signal mode1 (J1204);
63;shortcut on RBR signal mode2 (J1204);
64;shortcut on RBR signal select1 (J1204);
65;shortcut on RBR signal select2 (J1204);
66;shortcut on RBR signal select3 (J1204);
67;shortcut on RBR signal select4 (J1204);
68;invalid voltage on a RBR input;
69;open wire on brake 1;
70;open wire on brake 2;
71;open wire on brake 3;
72;open wire on brake 4;
73;open wire on brake 5;
74;open wire on brake 6;
75;DSI board alarm: unexpected encoder feedback on axis 1 (inconsistency, or out of range position, speed or acceleration).;
76;DSI board alarm: unexpected encoder feedback on axis 1 (inconsistency, or out of range position, speed or acceleration).;
77;DSI board alarm: unexpected encoder feedback on axis 2 (inconsistency, or out of range position, speed or acceleration).;
